s_adj	business	date	sales
Seasonally Adjusted	4400a	2001.04	1.87685E+11
Seasonally Adjusted	4400a	2001.05	1.88683E+11
Seasonally Adjusted	4400a	2001.06	1.87513E+11
Seasonally Adjusted	4400a	2001.07	1.87491E+11
Seasonally Adjusted	4400a	2001.08	1.88671E+11
Seasonally Adjusted	4400a	2001.09	1.86383E+11
Seasonally Adjusted	4400a	2001.1	1.88186E+11
Seasonally Adjusted	4400a	2001.11	1.88241E+11
Seasonally Adjusted	4400a	2001.12	1.88844E+11
Seasonally Adjusted	4400a	2002.01	1.89445E+11
Seasonally Adjusted	4400a	2002.02	1.90145E+11
Seasonally Adjusted	4400a	2002.03	1.90904E+11
Seasonally Adjusted	4400a	2002.04	1.93114E+11
Seasonally Adjusted	4400a	2002.05	1.92744E+11
Seasonally Adjusted	4400a	2002.06	1.9272E+11
Seasonally Adjusted	4400a	2002.07	1.93199E+11
Seasonally Adjusted	4400a	2002.08	1.93159E+11
Seasonally Adjusted	4400a	2002.09	1.92873E+11
Seasonally Adjusted	4400a	2002.1	1.94928E+11
Seasonally Adjusted	4400a	2002.11	1.96017E+11
Seasonally Adjusted	4400a	2002.12	1.96072E+11
Seasonally Adjusted	4400a	2003.01	1.98015E+11
Seasonally Adjusted	4400a	2003.02	1.9714E+11
Seasonally Adjusted	4400a	2003.03	1.99589E+11
Seasonally Adjusted	4400a	2003.04	1.97969E+11
Seasonally Adjusted	4400a	2003.05	1.98023E+11
Seasonally Adjusted	4400a	2003.06	2.00353E+11
Seasonally Adjusted	4400a	2003.07	2.02791E+11
Seasonally Adjusted	4400a	2003.08	2.05057E+11
Seasonally Adjusted	4400a	2003.09	2.05491E+11
Seasonally Adjusted	4400a	2003.1	2.05125E+11
Seasonally Adjusted	4400a	2003.11	2.06962E+11
Seasonally Adjusted	4400a	2003.12	2.07625E+11
Seasonally Adjusted	4400a	2004.01	2.10073E+11
Seasonally Adjusted	4400a	2004.02	2.10432E+11
Seasonally Adjusted	4400a	2004.03	2.14716E+11
Seasonally Adjusted	4400a	2004.04	2.13532E+11
Seasonally Adjusted	4400a	2004.05	2.15872E+11
Seasonally Adjusted	4400a	2004.06	2.15863E+11
Seasonally Adjusted	4400a	2004.07	2.16561E+11
Seasonally Adjusted	4400a	2004.08	2.16817E+11
Seasonally Adjusted	4400a	2004.09	2.1875E+11
Seasonally Adjusted	4400a	2004.1	2.21347E+11
Seasonally Adjusted	4400a	2004.11	2.23365E+11
Seasonally Adjusted	4400a	2004.12	2.24454E+11
Seasonally Adjusted	4400a	2005.01	2.25367E+11
Seasonally Adjusted	4400a	2005.02	2.27271E+11
Seasonally Adjusted	4400a	2005.03	2.27887E+11
Seasonally Adjusted	4400a	2005.04	2.31015E+11
Seasonally Adjusted	4400a	2005.05	2.29597E+11
Seasonally Adjusted	4400a	2005.06	2.32123E+11
Seasonally Adjusted	4400a	2005.07	2.32529E+11
Seasonally Adjusted	4400a	2005.08	2.36201E+11
Seasonally Adjusted	4400a	2005.09	2.39735E+11
Seasonally Adjusted	4400a	2005.1	2.42712E+11
Seasonally Adjusted	4400a	2005.11	2.41022E+11
Seasonally Adjusted	4400a	2005.12	2.40417E+11
Seasonally Adjusted	4400a	2006.01	2.46654E+11
Seasonally Adjusted	4400a	2006.02	2.4688E+11
Seasonally Adjusted	4400a	2006.03	2.47421E+11
Seasonally Adjusted	4400a	2006.04	2.49068E+11
Seasonally Adjusted	4400a	2006.05	2.48734E+11
Seasonally Adjusted	4400a	2006.06	2.48369E+11
Seasonally Adjusted	4400a	2006.07	2.4923E+11
Seasonally Adjusted	4400a	2006.08	2.50721E+11
Seasonally Adjusted	4400a	2006.09	2.48242E+11
Seasonally Adjusted	4400a	2006.1	2.47546E+11
Seasonally Adjusted	4400a	2006.11	2.48408E+11
Seasonally Adjusted	4400a	2006.12	2.5221E+11
Seasonally Adjusted	4400a	2007.01	2.52195E+11
Seasonally Adjusted	4400a	2007.02	2.53156E+11
Seasonally Adjusted	4400a	2007.03	2.5643E+11
